rc,p,ontime,timeout
0.9,0.0,34,6
0.9,0.02,30,9
0.9,0.04,4,36
0.9,0.06,3,36
0.9,0.08,7,33
0.9,0.1,5,35
0.9,0.12,13,26
0.9,0.14,37,3
0.9,0.16,38,2
0.9,0.18,40,0
0.9,0.2,40,0
0.9,0.22,40,0
0.9,0.27,40,0
0.9,0.32,40,0
0.9,0.37,40,0
0.9,0.42,40,0
0.9,0.47,40,0
0.9,0.52,40,0
0.9,0.57,40,0
0.9,0.62,40,0
0.9,0.67,40,0
0.9,0.72,40,0
0.9,0.77,40,0
0.9,0.82,40,0
0.9,0.87,40,0
0.9,0.92,40,0
0.9,0.97,40,0
0.7,0.0,17,2
0.7,0.02,18,1
0.7,0.04,17,2
0.7,0.06,15,4
0.7,0.08,7,12
0.7,0.1,2,18
0.7,0.12,0,18
0.7,0.14,1,18
0.7,0.16,4,16
0.7,0.18,2,17
0.7,0.2,5,13
0.7,0.22,3,16
0.7,0.27,5,15
0.7,0.32,9,10
0.7,0.37,13,6
0.7,0.42,15,4
0.7,0.47,18,1
0.7,0.52,19,0
0.7,0.57,19,0
0.7,0.62,19,0
0.7,0.67,19,0
0.7,0.72,19,0
0.7,0.77,18,0
0.7,0.82,19,0
0.7,0.87,19,0
0.7,0.92,19,0
0.7,0.97,20,0
1.0,0.0,17,3
1.0,0.02,20,0
1.0,0.04,20,0
1.0,0.06,20,0
1.0,0.08,20,0
1.0,0.1,20,0
1.0,0.12,20,0
1.0,0.14,20,0
1.0,0.16,20,0
1.0,0.18,20,0
1.0,0.2,20,0
1.0,0.22,20,0
1.0,0.27,20,0
1.0,0.32,20,0
1.0,0.37,20,0
1.0,0.42,20,0
1.0,0.47,20,0
1.0,0.52,20,0
1.0,0.57,20,0
1.0,0.62,20,0
1.0,0.67,20,0
1.0,0.72,20,0
1.0,0.77,20,0
1.0,0.82,20,0
1.0,0.87,20,0
1.0,0.92,20,0
1.0,0.97,20,0
